epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.951,2.16627,3.14686,0.00373,0.83204,0.76598,0.73788,0.29219,2.11155,1.17021,0.00407,0.000664344,0.000664344,0.000664344
2,358.555,1.99582,1.30673,0.00341,0.7961,0.76598,0.73209,0.29417,2.01516,1.32414,0.00382,0.00131344,0.00131344,0.00131344
3,465.653,1.96537,1.33313,0.0033,0.73216,0.69556,0.62152,0.21277,2.39317,1.44414,0.00449,0.00194494,0.00194494,0.00194494
4,567.392,1.90093,1.21575,0.00317,0.83083,0.74973,0.75567,0.34824,1.86601,1.27956,0.00373,0.0019208,0.0019208,0.0019208
5,669.319,1.96846,1.227,0.00337,0.8169,0.78791,0.76514,0.32407,1.84178,1.23319,0.0035,0.0018944,0.0018944,0.0018944
6,770.662,1.81545,1.12814,0.00304,0.82259,0.7974,0.7835,0.35516,1.81812,1.15151,0.00349,0.001868,0.001868,0.001868
7,872.404,1.79556,1.12553,0.00297,0.73562,0.69032,0.65519,0.19529,2.63277,1.51818,0.00488,0.0018416,0.0018416,0.0018416
8,974.541,1.74462,1.13256,0.00289,0.79307,0.76816,0.74654,0.29959,2.1181,1.24288,0.00391,0.0018152,0.0018152,0.0018152
9,1077.11,1.7226,1.10292,0.00281,0.80438,0.77031,0.74019,0.29041,2.05541,1.31614,0.00378,0.0017888,0.0017888,0.0017888
10,1178.29,1.71658,1.1082,0.00283,0.80738,0.76747,0.73791,0.28133,2.14491,1.32764,0.00393,0.0017624,0.0017624,0.0017624
11,1280.36,1.71384,1.0761,0.00282,0.82859,0.82226,0.79185,0.33597,1.92576,1.18216,0.00357,0.001736,0.001736,0.001736
12,1381.92,1.68952,1.0846,0.00277,0.84458,0.82124,0.81069,0.38859,1.63815,1.21702,0.00313,0.0017096,0.0017096,0.0017096
13,1482.95,1.67586,1.09856,0.00275,0.83512,0.79571,0.78298,0.33412,1.93578,1.19657,0.00358,0.0016832,0.0016832,0.0016832
14,1704.06,1.66802,1.09062,0.0027,0.83946,0.79311,0.79398,0.38644,1.67947,1.21558,0.00324,0.0016568,0.0016568,0.0016568
15,1804.09,1.62322,1.07566,0.00265,0.79532,0.76273,0.74929,0.29722,2.17015,1.22387,0.00399,0.0016304,0.0016304,0.0016304
16,1904.31,1.6513,1.06231,0.0027,0.83274,0.82449,0.80416,0.37159,1.72191,1.09874,0.00336,0.001604,0.001604,0.001604
17,2004.74,1.64176,1.0474,0.00267,0.83659,0.78765,0.78344,0.3619,1.76518,1.17278,0.00328,0.0015776,0.0015776,0.0015776
18,2105.84,1.637,1.02668,0.00263,0.80865,0.79666,0.76559,0.29834,2.09912,1.34536,0.00385,0.0015512,0.0015512,0.0015512
19,2206.52,1.62382,1.00544,0.00263,0.80121,0.79307,0.7727,0.31872,1.99791,1.23632,0.00367,0.0015248,0.0015248,0.0015248
20,2307.59,1.61804,1.01133,0.00262,0.80532,0.76923,0.78013,0.33876,1.86196,1.22624,0.00344,0.0014984,0.0014984,0.0014984
21,2408.71,1.59548,1.00119,0.00258,0.8139,0.77248,0.78472,0.3872,1.61572,1.25033,0.00301,0.001472,0.001472,0.001472
22,2509.99,1.59125,1.00159,0.00259,0.79876,0.80498,0.79484,0.37518,1.71422,1.15679,0.00317,0.0014456,0.0014456,0.0014456
23,2611.33,1.59862,1.02536,0.00259,0.79056,0.7649,0.76213,0.33937,1.83053,1.32907,0.00333,0.0014192,0.0014192,0.0014192
24,2712.72,1.58331,1.02587,0.00257,0.8214,0.80173,0.77118,0.33549,1.91384,1.22586,0.00351,0.0013928,0.0013928,0.0013928
25,2815,1.56083,1.02688,0.00249,0.8041,0.79159,0.78329,0.34239,1.80641,1.27475,0.00328,0.0013664,0.0013664,0.0013664
26,2915.99,1.55846,1.04778,0.00253,0.8113,0.7909,0.784,0.34649,1.83426,1.24295,0.00335,0.00134,0.00134,0.00134
27,3017.57,1.58611,0.97986,0.00258,0.82579,0.81257,0.80425,0.37759,1.66026,1.20289,0.00305,0.0013136,0.0013136,0.0013136
