epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3818,2.12178,9.06788,0.00366,0.65082,0.67064,0.66043,0.28564,1.98183,2.93745,0.00373,0.000664344,0.000664344,0.000664344
2,142.42,1.91265,2.95617,0.0032,0.74604,0.70019,0.70417,0.31399,1.70261,1.57962,0.00327,0.00131344,0.00131344,0.00131344
3,207.618,1.83061,1.77508,0.00302,0.72386,0.69581,0.70144,0.2987,1.81213,1.52279,0.00337,0.00194494,0.00194494,0.00194494
4,276.505,1.74938,1.49248,0.00284,0.748,0.74865,0.73441,0.35105,1.56268,1.49909,0.00294,0.0019208,0.0019208,0.0019208
5,342.032,1.79358,1.38768,0.003,0.71589,0.71527,0.71507,0.29928,1.72794,1.52158,0.00319,0.0018944,0.0018944,0.0018944
6,407.351,1.70323,1.33548,0.00279,0.76211,0.76359,0.74302,0.32217,1.70387,1.46709,0.00332,0.001868,0.001868,0.001868
7,472.476,1.65437,1.34332,0.00268,0.75719,0.73131,0.7384,0.33818,1.58972,1.46948,0.00291,0.0018416,0.0018416,0.0018416
8,537.436,1.63509,1.34271,0.00264,0.75546,0.68616,0.71067,0.31163,1.83265,1.43915,0.00337,0.0018152,0.0018152,0.0018152
9,609.533,1.63176,1.29565,0.00262,0.77616,0.74383,0.75006,0.35136,1.59764,1.50371,0.00291,0.0017888,0.0017888,0.0017888
10,677.422,1.61173,1.27958,0.00259,0.75769,0.7584,0.75669,0.34003,1.5653,1.5039,0.00286,0.0017624,0.0017624,0.0017624
11,744.292,1.60922,1.23412,0.00259,0.76618,0.77749,0.76075,0.36017,1.61567,1.35732,0.00296,0.001736,0.001736,0.001736
12,814.384,1.60482,1.24439,0.00258,0.75108,0.77681,0.76587,0.37392,1.52423,1.37527,0.00293,0.0017096,0.0017096,0.0017096
13,885.567,1.63194,1.25261,0.00262,0.78367,0.75748,0.752,0.32617,1.8111,1.41908,0.00332,0.0016832,0.0016832,0.0016832
14,956.069,1.60623,1.25148,0.00254,0.77863,0.76979,0.75551,0.36117,1.57098,1.39713,0.00287,0.0016568,0.0016568,0.0016568
15,1025.93,1.56481,1.2189,0.00251,0.78481,0.77839,0.76278,0.3709,1.60355,1.35983,0.00295,0.0016304,0.0016304,0.0016304
16,1096.17,1.56483,1.19957,0.00251,0.78777,0.75604,0.77057,0.39138,1.43375,1.38565,0.0027,0.001604,0.001604,0.001604
