epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.089,2.18467,3.74422,0.00392,0.60862,0.67897,0.60908,0.24623,2.13496,1.57235,0.00408,0.000666086,0.000666086,0.000666086
2,501.874,2.08468,1.42776,0.00372,0.65138,0.5493,0.48442,0.10936,2.96873,1.79424,0.00566,0.00131516,0.00131516,0.00131516
3,744.791,2.08089,1.41859,0.00369,0.77247,0.7136,0.69709,0.27145,2.1778,1.36999,0.00409,0.00194663,0.00194663,0.00194663
4,986.766,2.04553,1.33,0.00359,0.75525,0.64789,0.66603,0.27781,2.12532,1.38893,0.00409,0.0019208,0.0019208,0.0019208
5,1229.16,1.95648,1.32576,0.00347,0.78989,0.71687,0.72527,0.31508,1.92375,nan,0.00363,0.0018944,0.0018944,0.0018944
6,1471.32,1.93068,1.25737,0.0034,0.77184,0.70531,0.68146,0.27523,2.17801,1.41837,0.00409,0.001868,0.001868,0.001868
7,1714.07,1.8722,1.23738,0.00328,0.76893,0.78223,0.74805,0.27992,2.2077,1.27012,0.0041,0.0018416,0.0018416,0.0018416
8,1956.37,1.83608,1.23544,0.00319,0.78971,0.73023,0.72611,0.30954,1.997,1.33348,0.00374,0.0018152,0.0018152,0.0018152
9,2198.63,1.81215,1.1859,0.00312,0.82772,0.79122,0.76391,0.34656,1.89457,1.23608,0.00361,0.0017888,0.0017888,0.0017888
10,2440.56,1.81677,1.19206,0.00313,0.75589,0.74865,0.71088,0.30333,1.99144,1.38358,0.00371,0.0017624,0.0017624,0.0017624
11,2683.15,1.77295,1.20445,0.00305,0.78376,0.72647,0.71487,0.27941,2.0962,1.34409,0.00387,0.001736,0.001736,0.001736
12,2925.55,1.77075,1.14514,0.00306,0.75975,0.73673,0.72818,0.2868,2.08222,1.413,0.00382,0.0017096,0.0017096,0.0017096
13,3167.47,1.73133,1.18018,0.00294,0.81585,0.77248,0.76881,0.34806,1.8107,nan,0.00338,0.0016832,0.0016832,0.0016832
14,3409.6,1.74628,1.14819,0.00297,0.76553,0.76923,0.7342,0.30377,1.91808,1.37841,0.00354,0.0016568,0.0016568,0.0016568
15,3651.69,1.72012,1.14641,0.00295,0.81632,0.74152,0.74624,0.34387,1.79223,1.305,0.00335,0.0016304,0.0016304,0.0016304
16,3893.74,1.72843,1.12795,0.00295,0.76552,0.74973,0.7121,0.31064,2.03011,1.45859,0.00377,0.001604,0.001604,0.001604
17,4135.79,1.70399,1.11611,0.00291,0.81152,0.78007,0.76914,0.35755,1.86156,1.17444,0.00349,0.0015776,0.0015776,0.0015776
18,4377.87,1.73962,1.07076,0.00295,0.81361,0.81257,0.7763,0.36187,1.81602,1.11004,0.00346,0.0015512,0.0015512,0.0015512
19,4619.97,1.67852,1.07639,0.00284,0.82755,0.7974,0.78364,0.36595,1.76532,1.22151,0.00335,0.0015248,0.0015248,0.0015248
20,4862.74,1.70837,1.07928,0.00288,0.81246,0.79321,0.76108,0.35734,1.76132,1.22532,0.00332,0.0014984,0.0014984,0.0014984
21,5105.31,1.66936,1.05616,0.00282,0.80616,0.79198,0.77544,0.37448,1.68279,nan,0.00314,0.001472,0.001472,0.001472
22,5347.83,1.65624,1.07923,0.00281,0.81904,0.76815,0.76756,0.36009,1.70274,1.31104,0.00316,0.0014456,0.0014456,0.0014456
23,5590.13,1.67279,1.07395,0.00281,0.80235,0.78727,0.77415,0.34201,1.78231,1.28357,0.00332,0.0014192,0.0014192,0.0014192
24,5832.33,1.65586,1.09549,0.00282,0.82632,0.78982,0.7853,0.3579,1.80418,nan,0.00336,0.0013928,0.0013928,0.0013928
25,6074.55,1.66521,1.06006,0.0028,0.82012,0.77248,0.78341,0.38429,1.68984,nan,0.00316,0.0013664,0.0013664,0.0013664
26,6316.92,1.61845,1.06357,0.00274,0.82674,0.77898,0.77432,0.37099,1.75172,1.24226,0.00326,0.00134,0.00134,0.00134
27,6558.96,1.62463,1.03147,0.00277,0.81833,0.81365,0.78842,0.35973,1.74642,1.1945,0.00328,0.0013136,0.0013136,0.0013136
28,6801.39,1.62736,1.0097,0.00272,0.81571,0.78332,0.77164,0.35656,1.8164,1.15755,0.00337,0.0012872,0.0012872,0.0012872
29,7043.56,1.61864,1.06036,0.00272,0.82036,0.77676,0.79003,0.37184,1.72019,1.19328,0.00321,0.0012608,0.0012608,0.0012608
30,7285.66,1.62412,1.04583,0.00275,0.80133,0.77786,0.78948,0.36627,1.76553,nan,0.00328,0.0012344,0.0012344,0.0012344
31,7528.08,1.61483,1.01107,0.00271,0.82633,0.78982,0.79377,0.36601,1.80126,nan,0.00334,0.001208,0.001208,0.001208
32,7770.61,1.61893,0.97921,0.00276,0.79963,0.76273,0.75457,0.32538,1.97986,1.26638,0.00364,0.0011816,0.0011816,0.0011816
33,8013.07,1.62228,1.00168,0.00275,0.7957,0.76056,0.77568,0.37202,1.72364,1.24635,0.00321,0.0011552,0.0011552,0.0011552
34,8255.13,1.6098,1.02789,0.00271,0.81536,0.7844,0.78822,0.3833,1.6605,1.21187,0.0031,0.0011288,0.0011288,0.0011288
35,8497.08,1.57395,1.04282,0.00268,0.82919,0.76789,0.79059,0.37992,1.73301,1.20223,0.00323,0.0011024,0.0011024,0.0011024
36,8739.32,1.58154,1.04515,0.00266,0.82884,0.76599,0.79443,0.37354,1.73312,1.2389,0.00322,0.001076,0.001076,0.001076
37,8981.4,1.6029,1.01557,0.0027,0.8118,0.77681,0.79377,0.37129,1.75013,1.18967,0.00324,0.0010496,0.0010496,0.0010496
38,9223.8,1.55109,0.98377,0.00259,0.79148,0.75666,0.7846,0.38083,1.67533,1.22738,0.00311,0.0010232,0.0010232,0.0010232
39,9465.99,1.57336,0.99707,0.00264,0.82441,0.7986,0.79442,0.36752,1.7772,1.16502,0.00329,0.0009968,0.0009968,0.0009968
40,9707.89,1.56811,0.95685,0.00262,0.81553,0.79511,0.79661,0.37237,1.76671,1.17348,0.00328,0.0009704,0.0009704,0.0009704
